FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
French Alternative Energies and Atomic Energy Commission (Commissariat l'Energie Atomique et aux Energies Alternatives),2,,,,,,,Bruno L. Giordano,1.0
British Columbia Ministry of Heath,2,,,,,,,Panlong Yang,1.0
Beijing Key Laboratory of Information Service Engineering,2,,,,,,,Ian Dick,1.0
"Ministerio de Economia, Industria y Competitividad of the Spanish Government",2,,,,,,,Peter Zajac,1.0
CMI,2,,,,,,,Jianjun Meng,1.0
NHMRC of Australia,2,,,,,,,Zakia Hammal,1.0
Extremadura Local Government,2,,,,,,,Christian Hafner,1.0
"Microsoft Research, Bangalore, India",2,,,,,,,Yingwei Luo,1.0
Darpa XDATA,2,,,,,,,Alan Peters,1.0
"Ministry of Public Safety and Security, Republic of Korea",2,,,,,,,Bartosz Walczak,1.0
Major Inter-Disciplinary Research (IDR),2,,,,,,,Angelini,1.0
"Russian Foundation for Basic Research, Government of the Krasnoyarsk Territory",2,,,,,,,J. A.,1.0
Israeli National Cyber Bureau,2,,,,,,,Aron Sommer,1.0
Medical Research Council of South Africa and Health Systems Trust,2,,,,,,,Wei Hong Yang,1.0
Fondo Sectorial de Investigacion en Salud y Seguridad Social,2,,,,,,,Jose M. Pinto,1.0
Singapore National Medical Research Council Research Training Fellowship,2,,,,,,,Ben Karel,1.0
Netherlands Enterprise Agency (rvo.nl),2,,,,,,,Katharina Schumacher,1.0
French Ministry of Research (II-Vert Project),2,,,,,,,H. Eldib,1.0
HBI-Pfizer Research Award,2,,,,,,,R. Mao,1.0
Small Business Research Initiative (SBRI) Health care Scheme,2,,,,,,,Paul Cisek,1.0
ED474 Interdisciplinaire Europeenne Frontieres du vivant Liliane Bettencourt,2,,,,,,,Patrick Carrington,1.0
EU-COST Programme Action,2,,,,,,,Hamed Farbeh,1.0
Red de Excelencia (PSI2014-56303-REDT) PROMOSAM,2,,,,,,,Alka Devi,1.0
Department of Science and Technology of Sichuan Province,2,,,,,,,Philip Chehade,1.0
Modeling and Simulation of Nuclear Reactors,2,,,,,,,J.A. Maruhn,1.0
Zhejiang Qianjiang Talent Project,2,,,,,,,Rosangela Rodrigues,1.0
Juan de la Cierva formacion,2,,,,,,,Zhan Xu,1.0
"Tianjin Natural Science Foundation, China",2,,,,,,,Yu-Fan Teng,1.0
DOE Office of Science user facility,2,,,,,,,Remco Bouckaert,1.0
Italian MIUR Projects,2,,,,,,,Z.,1.0
EU-ICT project ASSISIbf,2,,,,,,,Agnes Szabados,1.0
Japan Society for the Promotion of Science (JSPS) KAKENHI Grant-in-Aid for Young Scientists,2,,,,,,,Miroslaw Klinkowski,1.0
Patricia E Kern Center for the Science of Health Care Delivery,2,,,,,,,Konstantinos Christodoulopoulos,1.0
Jiangsu Six Talents Peaks Project of Province,2,,,,,,,Victor Adriel,1.0
"AEI/FEDER, EU",2,,,,,,,Jing Chen,1.0
Scientific Research Startup Funds,2,,,,,,,M. Bohm,1.0
Social Psychology Fellowship,2,,,,,,,Michael Ortiz,1.0
Research Fund of Preferential Development Domain,2,,,,,,,Paulo Ribeiro,1.0
ANR-BBSRC,2,,,,,,,J. E. Bonte,1.0
Natural Science Research Project of Jiangsu Higher Education Institution,2,,,,,,,Matthew Geballe,1.0
Open Fund Project of State Key Laboratory of Software Engineering,2,,,,,,,Sergio Trilles,1.0
"Bayer Vital (Leverkusen, Germany)",2,,,,,,,Olesya Jakob,1.0
European Community's Seventh Framework Programme (FP7/2007-2013)/ERC,2,,,,,,,Jose Luis Romero,1.0
Cariplo Foundation,2,,,,,,,A.M. Bagirov,1.0
Tobacco Health and Welfare Surcharge,2,,,,,,,Richard Reilly,1.0
Ministry of Education-China Mobile Scientific Research Funds,2,,,,,,,M. Belogolovskii,1.0
Joint Fund of Equipment Pre-Research and Ministry of Education,2,,,,,,,Junzuo Lai,1.0
"Zhuhai Top Discipline-Information Security, Guangzhou Key Laboratory of Data Security and Privacy Preserving, Guangdong Key Laboratory of Data Security and Privacy Preserving",2,,,,,,,Annette Scherpenzeel,1.0
UTHealth Innovation for Cancer Prevention Research Training Program Post-doctoral Fellowship (Cancer Prevention and Research Institute of Texas,2,,,,,,,Luis Martin,1.0
EC FP7 Converge,2,,,,,,,N. Facchi,1.0
ZonMw Innovative Medical Devices Initiative (IMDI),2,,,,,,,Kenichi Tanaka,1.0
Air Force Research Laboratories,2,,,,,,,Peter Gates,1.0
National Library of Medicine Sponsored Medical Informatics Fellowship,2,,,,,,,Beck Yang,1.0
New Zealand National Science Challenge Science for Technological Innovation (SfTI),2,,,,,,,Yangmin Li,1.0
China National 863 Technology Projects,2,,,,,,,Siqi Liu,1.0
Finnish Medical Foundation,2,,,,,,,Shunsuke Shimizu,1.0
"Industrial Strategic Technology Development Program of the Ministry of Trade, Industry and Energy, South Korea",2,,,,,,,Raphaelle Crubille,1.0
International Research & Development Program of the National Research Foundation of Korea (NRF),2,,,,,,,R. Townsend,1.0
Jonas Philanthropies,2,,,,,,,Jeongeun Lee,1.0
NIHR HTA Program,2,,,,,,,Hannes Jung,1.0
Program of Peak Experience of NWPU,2,,,,,,,Kun Zhan,1.0
USAID's Saving Lives at Birth Program,2,,,,,,,T. Miyao,1.0
Dutch Innovatiefonds Zorgverzekeraars,2,,,,,,,Anna Francova,1.0
PESCA,2,,,,,,,M. O'Sullivan,1.0
Steacie Memorial Fellowship,2,,,,,,,Constant Bridon,1.0
Centre for Nanotechnology Research and Applications (CENTRA),2,,,,,,,Kevin Wahlmeier,1.0
Regional Implementation Programme for Underutilized Areas Fund,2,,,,,,,Sven Buijssen,1.0
Veterans Health Administration HSR,2,,,,,,,A. Mirzaei,1.0
FCT-Foundation for Science and Technology,2,,,,,,,Michael Schneider,1.0
Basic Research Laboratory Program,2,,,,,,,David P. MacKinnon,1.0
Robert Wood Johnson Foundation Clinical Scholars Program,2,,,,,,,Batya Friedman,1.0
National Programme of Sustainability (NPU II) project IT4Innovations excellence,2,,,,,,,Anne Traynor,1.0
START project BIVISION,2,,,,,,,A.L. Tchougreef,1.0
Departments of Biostatistics and Health Services,2,,,,,,,Mario Berges,1.0
"Ministry of Science Technology, Taiwan",2,,,,,,,Ravi P. More,1.0
United States Department of Agriculture Western Sustainable Agriculture Research and Education (USDA-WSARE) program,2,,,,,,,Dominik Michels,1.0
National Institute on Aging of the NIH,2,,,,,,,Qing Hui,1.0
Vicerrectoria de Investigacion,2,,,,,,,J. Garcia-Martin,1.0
Joint Program Executive Office for Chemical and Biological Defense (JPEO-CBD),2,,,,,,,Victor Vloemans,1.0
Bundesministerium fur Bildung und Forschung (German Federal Ministry of Education and Research) project Endo-CARS,2,,,,,,,D. Pagano,1.0
Unmanned Vehicles Advanced Core Technology Research and Development Program,2,,,,,,,Xianpeng Wang,1.0
"NadoHealth Center, Zagreb, Croatia",2,,,,,,,Zhi-Hong Mao,1.0
Israel National Institute for Health Policy and Health Services Research,2,,,,,,,Edwin A. Marengo.,1.0
Cadila,2,,,,,,,K. Hanjalic,1.0
"European Association of Hospital Pharmacists, Gothenburg, Sweden",2,,,,,,,Richard Baraniuk,1.0
National Institute for Health Research Method Grant,2,,,,,,,Simone Rossi,1.0
7th Framework Program in the area of Personal Health Systems,2,,,,,,,Sungjin Lee,1.0
Ministry of Education of China - China Mobile Communications Corporation) Joint Science Fund,2,,,,,,,W. Nazarewicz,1.0
National Institute for Health Clinical Lectureship,2,,,,,,,Chiharu Masuda,1.0
Shandong Province Science and Technology Major Project,2,,,,,,,P. Ossona de Mendez,1.0
Japan Society for the Promotion of Science - Japan,2,,,,,,,Heinrich H. Bulthoff,1.0
Shanghai STC Project,2,,,,,,,D. Ntouni,1.0
Strategic Priority Research Program - Climate Change: Carbon Budget and Relevant Issues,2,,,,,,,Shaun Fallat,1.0
Major Project of Chinese National Program for Fundamental Research and Development,2,,,,,,,Jeremy Badler,1.0
Foundation Archimedes,2,,,,,,,Yan-Ying Chen,1.0
Townsville-MacKay Medicare Local,2,,,,,,,Diogo Viegas,1.0
USMART Project,2,,,,,,,Eroma Abeysinghe,1.0
Finnish Centre of Excellence in Computational Inference Research COIN),2,,,,,,,Rossana Valenti,1.0
Youth Talent Training Project of Guangdong Province,2,,,,,,,Zaid Harchaoui,1.0
Funds for Scientific Research Flanders (FWO),2,,,,,,,Liping Jing,1.0
"New Delhi, Government of India",2,,,,,,,Hallett,1.0
PHC PROCOPE 2017,2,,,,,,,Patricia Gilbert,1.0
Brazilian Scientific Development Council (CNPq),2,,,,,,,Bruno C. Vani,1.0
European Union's H2020 Research and Innovation Project SESAME,2,,,,,,,Yu-Fan Chen,1.0
Swedish Research Council (Vetenskapsrdet),2,,,,,,,Ruoming Jin,1.0
Spanish Ramon y Cajal grant,2,,,,,,,Miranda Mallett,1.0
RWW,2,,,,,,,Steven Galbraith,1.0
"Lux Vitae, Croatia",2,,,,,,,Andrew Christensen,1.0
Research Fund of the State Key Laboratory of Synthetical Automation for Process Industries,2,,,,,,,Michael Barrett,1.0
Zhejiang Provincial Key Research Base of Humanistic and Social Sciences,2,,,,,,,Daniel Skalicky,1.0
US NHLBI R21HL097334,2,,,,,,,Jefferson Melo,1.0
AcRF Tier 2,2,,,,,,,V. Toranzo,1.0
DFG-RFBR,2,,,,,,,F. Herrera.,1.0
National Basic Research Project,2,,,,,,,Michael McLennan,1.0
Innovation Project of GUET Graduate Education,2,,,,,,,Weimin C. Hong,1.0
Florida Department of Health,2,,,,,,,H.R. Karimi,1.0
"Fundacao para a Ciencia e Technologia (FCT), Portugal",2,,,,,,,Weixin Si,1.0
Technology Guidance Project of Fujian Province,2,,,,,,,Christine Greenhow,1.0
Carlos Chagas Filho Foundation for Research Support of the State of Rio de Janeiro,2,,,,,,,Amy Williams,1.0
"Economic and Social Research Council, Medical Research Council",2,,,,,,,Alexandre Grillon,1.0
ICM,2,,,,,,,Jonathan G.,1.0
BrightFocus Alzheimer's disease,2,,,,,,,Enrico Daga,1.0
NARSAD Young Investigator,2,,,,,,,JA Luceno,1.0
PARENT-BRIDGE Programme of Foundation for Polish Science,2,,,,,,,Bohong Qian,1.0
Centre for Allergy Research,2,,,,,,,Sarma,1.0
Key Project of Philosophy and Social Science Foundation of Hunan Province,2,,,,,,,Olivier Hudry,1.0
Galdakao-Usansolo Hospital,2,,,,,,,Wong et,1.0
National Sciences and Engineering Research Council (NSERC),2,,,,,,,Dr.P.V.Ananda Mohan,1.0
PhD Program Foundation of Ministry of Education of China,2,,,,,,,Borja Milian,1.0
HP Labs Open Innovation Research Program,2,,,,,,,Jie Peng,1.0
Louisiana Clinical and Translational Science Center,2,,,,,,,Ebele Osita,1.0
NIHR Research Methods Opportunity Funding Scheme,2,,,,,,,Robert Merca,1.0
Greater Manchester Collaboration for Leadership in Applied Health Research and Care (CLAHRC),2,,,,,,,Dan Diaper,1.0
Miller Professorship,2,,,,,,,Cristina K. Dominicini.,1.0
National Institutes of Health (NIH,2,,,,,,,Pawel Liskowski,1.0
Beijing Health System Top Level Health Technical Personnel Training Plan,2,,,,,,,K.-S.,1.0
National Scholarship Fund,2,,,,,,,Veeranjaneyulu Sadhanala,1.0
European Program INTERREG IVA France-Channel-UK,2,,,,,,,Shoji Shinoda,1.0
National Natural Science Foundation of China),2,,,,,,,Ammar Qammaz,1.0
RehabNet project - Neuroscience Based Interactive Systems for Motor Rehabilitation - EC,2,,,,,,,John Stone,1.0
COMPAR-EU,2,,,,,,,Thomas Olsson,1.0
DFG Emmy Noether fellowship GO 1752/3-1,2,,,,,,,Robin Kothari,1.0
Portuguese Foundation for Science & Technology (FCT),2,,,,,,,Cliff Schor,1.0
Compute-Calcul Canada,2,,,,,,,F. Bernier,1.0
Carlos Chagas Filho Foundation for Research Support in the State of Rio de Janeiro/Brazil (FAPERJ),2,,,,,,,Sebastian Engelke,1.0
National Institute of Environmental Health Sciences (NIEHS),2,,,,,,,Ernst Moritz Hahn,1.0
US ARO,2,,,,,,,Yuriy Brun,1.0
Future Networks,2,,,,,,,L. Lions,1.0
National High-Tech. Research and Development Program of China,2,,,,,,,Renjiao Yi,1.0
"Korean Health Technology R&D Project, Ministry of Health and Welfare",2,,,,,,,Domenic Forte,1.0
"Science and Technology Planning Key Project of Shandong Universities, China",2,,,,,,,Peter Enyedi,1.0
ICT R&D,2,,,,,,,Nathan W. Hill,1.0
Canary Islands 2014-2020 Strategy Aim 3,2,,,,,,,C. Dixon,1.0
Grunenthal Foundation,2,,,,,,,R. Nudo,1.0
Ministry of Health of Sri Lanka,2,,,,,,,Josefa Domingos,1.0
American Nursing Informatics Association Scholarship Award,2,,,,,,,Anja Reuter,1.0
National Council Science and Technology (CONACYT),2,,,,,,,S. Mori,1.0
UK-India Education and Research Initiative (UKIERI)-Thematic Partnership Project,2,,,,,,,John Reppy,1.0
World Bank Group,2,,,,,,,Dabo Xu.,1.0
Natural Scientific Research of Zhejiang Provincial of China,2,,,,,,,Giacomo Ascione,1.0
Spanish network CAPAP-H6,2,,,,,,,J. M. Schmidt,1.0
project Deteccion temprana de dano ocular en diabeticos usando un sistema de inteligencia artificial en imagenes de fondo de ojo,2,,,,,,,Dong Trong Nguyen,1.0
National Library of Medicine (NLM) Training Grant,2,,,,,,,Han-Chieh Chao,1.0
NSF Algorithmic Foundations,2,,,,,,,Thomas Neumann,1.0
Unified Research on Network-based Hard/Soft Information Fusion,2,,,,,,,Any Roy,1.0
Luan Commission Directed City-Level Key Research,2,,,,,,,Pengjun Yang,1.0
AAHA,2,,,,,,,Michael Roitzsch,1.0
Foundation for Distinguished Young Scholars of Anhui Province,2,,,,,,,Erik P. DeBenedictis,1.0
National Science and Technology Infrastructure Program,2,,,,,,,E. Demaine,1.0
ExCAPE,2,,,,,,,Sunghyun Park,1.0
Open-Project Grant,2,,,,,,,J. Gomez-Vilardebo,1.0
ARTEMIS,2,,,,,,,Roxanna Palmer,1.0
Helsingin ja Uudenmaan Sairaanhoitopiiri,2,,,,,,,lain McCall,1.0
Small Grant Scheme (Sunway-Lancaster),2,,,,,,,Wenping Zhu,1.0
Research Chair in Distributed Computing,2,,,,,,,Ching-Kong Chen,1.0
Scientific Research Staring Foundation for Introduced Talents in NJUPT (NUPTSF,2,,,,,,,Alvaro Paz,1.0
Educational Science Foundation of Chongqing China,2,,,,,,,Douglas Lanman,1.0
SDUST Research Fund of China,2,,,,,,,P. Helander,1.0
West China Hospital,2,,,,,,,A. Levin,1.0
ANR (Agence Nationale de la Recherche) ArtSpeech,2,,,,,,,Neil Scheibelhut,1.0
LPS-BIGGER,2,,,,,,,F. Renna,1.0
Technological Innovation Foundation of Shanghai Municipal Education Commission,2,,,,,,,Matthew Perras,1.0
Key Technologies R&D Program of Jiangsu Province,2,,,,,,,P. Jidesh,1.0
Sint Anna Hospital,2,,,,,,,Jingjing Huo,1.0
Horizon 2020 program,2,,,,,,,Juan Vaccari,1.0
"Conacyt, Mexico",2,,,,,,,Junwei Han.,1.0
Guangdong Prenational,2,,,,,,,P. Crespi,1.0
"Consejo Nacional de Ciencia y Tecnologia (CONACYT)""",2,,,,,,,Miroslav Skrbek,1.0
Investigacion en Fronteras de la Ciencia 2016,2,,,,,,,H. Braun,1.0
FONCYT - ANPCYT of Argentina,2,,,,,,,Giacomo Baruzzo,1.0
Blavatnik fund,2,,,,,,,David Wood,1.0
Membership of Youth Innovation Promotion Association,2,,,,,,,Y. Tao,1.0
General Secretariat for Research and Technology ARISTEIA,2,,,,,,,John Mackay,1.0
MedStar Health,2,,,,,,,Hakan Erdogmus,1.0
VA HSR&D Research Career Development Awards,2,,,,,,,E. Cagli,1.0
Horizon Digital Economy Hub,2,,,,,,,Mircea Lungu,1.0
Innovation and Entrepreneurship of Jiangsu High-level Talent,2,,,,,,,Dhiraj Sarkar,1.0
Dutch Child and Hospital Foundation,2,,,,,,,M. J. Wu.,1.0
Strategic International Collaborative Research Program,2,,,,,,,Chenfanfu Jiang,1.0
United States Office of Naval Research,2,,,,,,,Jae-Young Kim,1.0
Biostatistics/Epidemiology/Research Design (BERD) Core of the Center for Clinical and Translational Sciences (CCTS),2,,,,,,,Luis Urquiza-Aguiar,1.0
Slovak research and development agency,2,,,,,,,John T. Fitzgerald,1.0
CoqHoTT ERC,2,,,,,,,Chris Lee,1.0
"Department of Atomic Energy (DAE), India",2,,,,,,,Francois Baudin,1.0
Fundamental Research Funds of the Central Universities,2,,,,,,,Ekaterina Dyachenko,1.0
"A Network for Developing Lifelong Learning in Armenia, Georgia and Ukraine)",2,,,,,,,M. G. Gong,1.0
Simons Junior Fellowship,2,,,,,,,Alexander Belovs,1.0
"Unit for Inclusion, Skills and Youth",2,,,,,,,Saibal Majumder,1.0
Shanghai International Cooperation Fund Project,2,,,,,,,P. Cisek,1.0
Henan Science and Technology Innovation Project,2,,,,,,,Michael A. Arbib,1.0
CNR Flagship project InterOmics,2,,,,,,,Philip Mayer,1.0
Western Regional Training Centre (WRTC),2,,,,,,,Edward J. Castronova,1.0
NSF Variability Expeditions,2,,,,,,,Ye Tao,1.0
Innovative Medicine Initiative Joint Undertaking (www.imi.europa.eu),2,,,,,,,Joao de Deus,1.0
Roskilde Hospital,2,,,,,,,Darrell D. Marshall,1.0
"River Basin Governance Research Network, UK project",2,,,,,,,Aleksander F. Zarnecki,1.0
Fundamental Research Funds forthe Central Universities,2,,,,,,,Peng Ouyang,1.0
Royal Society Industry Fellowship,2,,,,,,,Victor Lempitsky,1.0
Distinguished Young Scholars Fund of Education,2,,,,,,,A. Acharyya,1.0
European Commission European Regional Development Fund (EFRE,2,,,,,,,C. Noguera,1.0
DIALOG Program,2,,,,,,,Dan Ames,1.0
Core Research for Evolutional Science and Technology (CREST) Program,2,,,,,,,Xu Jin,1.0
The Computational Microscope,2,,,,,,,R. de la Llave,1.0
KEMRI-Wellcome Trust Research Programme,2,,,,,,,Shriram Krishnamurthi,1.0
U.S. Army TACOM Life Cycle Command,2,,,,,,,Priya Rajan,1.0
PhRMA Foundation,2,,,,,,,Alfred Wasserman,1.0
Zhejiang Provincial Xingmiao Talent Foundation of China,2,,,,,,,Tommaso Benacchio,1.0
"Scientific and Technological Progress of Shanxi province Colleges and Universities, China",2,,,,,,,Yinhui Zhang,1.0
Region Jamtland Harjedalen,2,,,,,,,Maurice Chacron,1.0
Purdue SPS,2,,,,,,,Frank Lagor,1.0
Ontario Telemedicine Network,2,,,,,,,Tong Lu,1.0
International Science and Technology Cooperation and Exchange Projects of Shaanxi Province,2,,,,,,,Steven Fick,1.0
FIRB Futuro in Ricerca grant,2,,,,,,,Jennifer K. Stewart,1.0
BWRC,2,,,,,,,T. Hussey,1.0
Fondos Europeos de Desarrollo Regional (FEDER),2,,,,,,,Alan Bivens,1.0
Australian National Health and Medical Research Council (NHMRC) Program and Equipment Grants,2,,,,,,,A. Patra,1.0
IEEE International Conference on Network Protocols (ICNP) 2017,2,,,,,,,Duy-Hieu Bui,1.0
Research Foundation from Shanghai Science and Technology,2,,,,,,,Martijn Koedam,1.0
ANR project GraphEn,2,,,,,,,V. Marik,1.0
NIDCR,2,,,,,,,Richard Bornat,1.0
NHMRC John Cade Fellowship,2,,,,,,,D. Comminiello,1.0
Israeli Ministry of Health,2,,,,,,,Bernard Lebahr,1.0
Programa Severo Ochoa,2,,,,,,,Manon Kok,1.0
Meat and Livestock Australia,2,,,,,,,Jos van den Berg,1.0
Engineering Research Center Program for Soft Robotics,2,,,,,,,Laurent Tournier,1.0
"Madhya Pradesh Council of Science and Technology, Bhopal",2,,,,,,,Sergio Mujica,1.0
Charles Best Canada Graduate Scholarship Doctoral Research Award,2,,,,,,,Norbert Pienta,1.0
Sapere Aude,2,,,,,,,Adam Powell,1.0
EU for NIRION Project,2,,,,,,,Elisabetta Brusa,1.0
FAPESP-Brazil,2,,,,,,,Rajtmajer,1.0
Drug Prevention and Information Programme of the European Union,2,,,,,,,D. Kleyko,1.0
Korea government (MST),2,,,,,,,Perez,1.0
CUR of DIUiE of Generalitat de Catalunya,2,,,,,,,Samant Khajuria,1.0
Digiteo 2009-36HD,2,,,,,,,G. Pan.,1.0
American Diabetes Association,2,,,,,,,G. Kortsarz,1.0
"National Institute for Health Research Biomedical Research Centre, Oxford, United Kingdom",2,,,,,,,Yuichi Kitamura,1.0
UK Research Council,2,,,,,,,Markus Borg,1.0
Open Project Program of Key Laboratory of Intelligent Perception and Systems for High-Dimensional Information of Ministry of Education,2,,,,,,,Dan Lei Yan,1.0
VADA Programme Grant,2,,,,,,,Carlo Benedetti,1.0
German-French Academy for the Industry of the Future,2,,,,,,,Xianbo Chen,1.0
Software Productivity Group,2,,,,,,,Willer G dos Santos,1.0
Sidney Kimmel Center for Prostate and Urologic Cancers,2,,,,,,,Enza Zaden,1.0
Nordic Information for Action eScience Center of Excellence in Health-Related e-Sciences (NIASC,2,,,,,,,Erik Bekkers,1.0
CAP,2,,,,,,,Simon Osindero,1.0
national institute for excellence in health and social services,2,,,,,,,Behrouz Babaki,1.0
Science & Technology on Reliability & Environmental Engineering Laboratory,2,,,,,,,Ravi Kumar Kolla,1.0
